seed_rank,active_200,cfb_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
290,no,g24cfb_290,5ee39418c9e77c0008ccf141,train,238967,Los Angeles,453202b516ef,Only one city in the United States has a higher population than Los Angeles .,"Los Angeles ( ; ) , officially the City of Los Angeles and often known by its initials L.A. , is the most populous city in California , the second most populous city in the United States , after New York City , and the third most populous city in North America .","Los Angeles ( ; ) , officially the City of Los Angeles and often known by its initials L.A. , is the most populous city in California , the eighth most populous city in the United States , after New York City , and the third most populous city in North America ."
291,no,g24cfb_291,5eb9573bc9e77c0008fa1a37,test,3479,Jamie Vardy,54e9b913bc7c,The rumoured feud between Vardy and Gyan was denied by Kwesi Appiah .,"During the tournament , there were media rumours of a feud between Vardy and fellow striker Gyan , which were denied by manager Kwesi Appiah .","During the tournament , there were media rumours of a feud between Vardy and fellow striker Rooney , which were denied by manager Roy Hodgson ."
292,no,g24cfb_292,5ec284fec9e77c000841749b,train,114618,Yesterday -LRB-2019 film-RRB-,82c9d23eea8b,The film Yesterday was reviewed by 41 critics .,"On Metacritic , the film has a weighted average score of 55 out of 100 , based on 41 critics , indicating `` mixed or average reviews '' .","On Metacritic , the film has a weighted average score of 55 out of 100 , based on 42 critics , indicating `` mixed or average reviews '' ."
293,no,g24cfb_293,5ee3932cc9e77c0008ccabed,train,210905,2020 coronavirus pandemic in Tamil Nadu,6c01bf96e8d6,"In Tamil Nadu , less than four districts are coronavirus free .","34 of the 37 districts are affected , with Chennai and Coimbatore being the worst-hit districts .","34 of the 38 districts are affected , with Chennai and Coimbatore being the worst-hit districts ."
294,no,g24cfb_294,5ed4de07c9e77c000848a041,dev,21805,London Calling,9502c1376c22,The Clash performed at The Palladium before 21 September 1979 during their Take the Fifth tour .,against the stage at The Palladium in New York City on 20 September 1979 during the Clash Take the Fifth US tour .,against the stage at The Palladium in New York City on 21 September 1979 during the Clash Take the Fifth US tour .
295,no,g24cfb_295,5ec7d50ec9e77c0008442672,dev,10946,Eric Berry,504e60c39ae7,Eric Berry was signed by the Cleveland Browns in early 2019 .,"Berry was signed by the Cleveland Browns on March 26 , 2019.","Berry was signed by the Green Bay Packers on March 26 , 2019."
296,no,g24cfb_296,5ebbf32bc9e77c0009295095,train,36130,Chris Simms,f65cf4d7f40b,"Chris Simms has two children , a girl and a boy .","In 2006 , Danielle gave birth to a girl and gave birth to a boy in 2010.Simms was arrested in July 2010 and charged with driving while intoxicated , but was acquitted at trial in May 2011 .","In 2006 , Danielle gave birth to Charlotte and gave birth to Philip in 2010.Simms was arrested in July 2010 and charged with driving while intoxicated , but was acquitted at trial in May 2011 ."
297,no,g24cfb_297,5eb29889c9e77c0008d944ac,train,25469,Black Summer -LRB-TV series-RRB-,0f3700212590,"In the Black Water series , the band was under four evacuees .","The three band together , while Barbara and a group of other unknown evacuees drive away .","The four band together , while Barbara and a group of other unknown evacuees drive away ."
298,no,g24cfb_298,5ed4de06c9e77c0008489c9d,train,140749,Carrefour,d281b079ec91,Carrefour Supermarket is the largest retailer in Brazil .,"; BrazilCarrefour Brasil ( which is the biggest market outside France ) was founded in 1975 and today it is the major supermarkets chain in Brazil under competition with Groupe Casino , Walmart and others , and currently it sells more than","; BrazilCarrefour Brasil ( which is the biggest market outside France ) was founded in 1975 and today it is the second major supermarkets chain in Brazil under competition with Groupe Casino , Walmart and others , and currently it sells mo"
299,no,g24cfb_299,5ed7ad00c9e77c00084a5da4,train,158100,Iron Bowl,ce10af6fed5e,Alabama holds the first place at the Iron Bowl series .,Alabama leads the series 45–35–1 .,Aurburn leads the series 45–35–1 .
300,no,g24cfb_300,5eafed80c9e77c0009ce141c,train,125228,Free State of Jones -LRB-film-RRB-,b06603cfbef9,"After the release , the movie had either unfavorable or ambiguous reviews .","The film was released in the United States by STX Entertainment on June 24 , 2016 and received mixed-to-negative reviews.","The film was released in the United States by STX Entertainment on June 24 , 2016 and received mixed reviews."
301,no,g24cfb_301,5ec5598ec9e77c000842c6f0,train,76491,Dulwich Hamlet F.C.,a5121821535b,Dulwich Hamlet F.C . play at Champion Hill .,They are members of the Premier Division of the Isthmian League and play at Champion Hill.,They are members of the Premier Division of the Isthmian League and temporarily play at Imperial Fields in Mitcham after property developers terminated their lease at their Champion Hill ground.
302,no,g24cfb_302,5ee39417c9e77c0008cce125,train,230421,Audrey Hepburn,cfb00fe3ed1a,Audrey Hepburn 's birth name is Audrey Kathleen Ruston .,"Audrey Hepburn ( born Audrey Kathleen Ruston ; 4 May 192920 January 1993 ) was a British actress , model , dancer and humanitarian .","Audrey Hepburn ( born Edda Kathleen van Heemstra Hepburn-Ruston ; May 4 , 1929 , Ixelles , Brussels , Belgium — died January 20 , 1993 , Tolochenaz , Switzerland ) , was an actress , model , dancer and humanitarian ."
303,no,g24cfb_303,5ee393b7c9e77c0008cccb16,train,228259,2020 coronavirus pandemic in South Carolina,a18ec9bcad60,"Retailers shops must-have , as maximum , 5 customers for every square foot of space .",Retail businesses are required to have no more than 5 customers for every square feet of space .,"Retail businesses are required to have no more than 5 customers for every 1,000 square feet of space ."
