gnum,group_sha,contradiction_type,negation_present,inc_item_ids,dec_item_ids,source,notes
31,816626b7c4,explicit_negation,yes,g24a_scifact_1367,g24a_scifact_1370,scifact,DEC 'unrelated to' - un- prefix negation
32,82a409f17e,numeric_value,no,"g24a_fever_183417,g24a_fever_183411",g24a_fever_183420,fever,"$87,894 vs $69,723; INC has 2 duplicate items"
33,83377b6d9a,explicit_negation,yes,g24a_scifact_399,g24a_scifact_400,scifact,DEC 'unrelated to' - un- prefix negation
34,8ac8ca9fc8,explicit_negation,yes,g24a_fever_33739,g24a_fever_78778,fever,DEC 'unmarried' - un- prefix negation of married (borderline morphological antonym)
35,8c9981f4b9,antonym_opposite,no,g24a_scifact_536,g24a_scifact_537,scifact,induce/suppress panicprone state
36,8cc84fdc4b,exclusive_alternative,no,g24a_fever_166919,g24a_fever_166951,fever,'only dubbed into English' vs 3 languages
37,9909d08591,exclusive_alternative,no,g24a_fever_23198,g24a_fever_40778,fever,mother vs sister - incompatible family relation
38,a19309c246,exclusive_alternative,no,g24a_fever_203627,g24a_fever_203614,fever,alternative film identity for debut (Duel vs Sugarland; years 1976 vs 1974)
39,a1d8bd2633,numeric_value,no,g24a_scifact_5,g24a_scifact_2,scifact,1/2000 (evidence 493/million) vs 1 in 5 million
40,a8fc3392e2,antonym_opposite,no,g24a_scifact_1040,g24a_scifact_1041,scifact,destabilizes vs stabilizing; DEC extends scope to gene activation (cross-dimension element)
41,b4210ea945,exclusive_alternative,no,g24a_fever_214973,g24a_fever_214989,fever,'only on SBS TV' vs ABC TV - wrong channel + only-scope
42,b659bb4463,antonym_opposite,no,g24a_scifact_779,g24a_scifact_778,scifact,"increased susceptibility vs 'immune to' - lexical opposition; immune is negative-polarity word, not linguistic negation"
43,c048fb5c27,explicit_negation,yes,g24a_fever_216389,g24a_fever_216390,fever,DEC 'incapable of writing anything'
44,c598c8dbb1,numeric_value,no,g24a_fever_124341,"g24a_fever_47792,g24a_fever_141838",fever,DEC1 began May vs June; DEC2 'ended January 2016' - value conflict vs evidence + temporal conflict with INC (began 2016)
45,c963114af9,explicit_negation,yes,g24a_fever_66842,g24a_fever_68337,fever,DEC 'never missed the playoffs'
46,ce47287f7f,explicit_negation,yes,g24a_fever_105216,g24a_fever_148263,fever,INC carries 'is not a series of seven...'; DEC asserts alternative category - negation on supported side
47,e6af48c413,explicit_negation,yes,g24a_scifact_137,g24a_scifact_138,scifact,INC 'does not lead to improved vision'; DEC positive mirror - negation on supported side
48,ec9e00037c,exclusive_alternative,no,g24a_fever_102540,g24a_fever_103545,fever,alternative location (Museum of Natural History vs Warrens' Occult Museum)
49,efe5c764ce,explicit_negation,yes,g24a_fever_224369,g24a_fever_224370,fever,DEC 'zero FA Cups' - negative quantifier
50,f320cab67b,exclusive_alternative,no,g24a_fever_208414,g24a_fever_208433,fever,'only a single' vs debut album - type mismatch + only-scope
51,f4d0aa5c71,explicit_negation,yes,g24a_scifact_501,g24a_scifact_500,scifact,INC 'not correlated'; DEC positive mirror - negation on supported side
52,fa68f098d6,numeric_value,no,g24a_fever_161222,g24a_fever_94603,fever,rank order: DEC 'ahead of Bar Rafaeli' (rank 1) vs evidence 2nd behind Refaeli
53,fe39679ee7,numeric_value,no,g24a_fever_204015,g24a_fever_203996,fever,2010 vs Feb 2007 (2000s)
