group_sha,source,n_inc,n_dec,n_items,auto_type,negation_present,jaccard_mean,entity_overlap_mean,evidence_seen_in_discovery600,inc_item_ids,dec_item_ids,evidence
01e7a4261b,fever,2,2,4,indirect_contradiction,no,0.2583,0.25,True,"g24a_fever_108518,g24a_fever_140390","g24a_fever_81391,g24a_fever_97307","Cthulhu ([- all (k) ʟ̝̊ʊlʔɬuː]) is a cosmic entity created by writer H. P. Lovecraft and first introduced in the short story ""The Call of Cthulhu"", published in the American pulp magazine Weird Tales in 1928."
0205ff538b,fever,5,3,8,exclusive_alternative,no,0.3963,0.9,False,"g24a_fever_207378,g24a_fever_207383,g24a_fever_207384,g24a_fever_207388,g24a_fever_207390","g24a_fever_207379,g24a_fever_207382,g24a_fever_207387",Diveroli was sentenced to four years in federal prison.
021f88610a,fever,1,1,2,explicit_negation,yes,0.5,1.0,False,g24a_fever_56200,g24a_fever_34944,"He made his film debut in the romantic comedy Coming Soon and became known by audiences in the comedy film Dude, Where's My Car?"
022e8007eb,fever,1,3,4,explicit_negation,yes,0.4053,0.8333,False,g24a_fever_160795,"g24a_fever_155156,g24a_fever_160315,g24a_fever_160857",No Strings Attached is a 2011 American romantic comedy film directed by Ivan Reitman and written by Elizabeth Meriwether.
02937779a9,fever,5,2,7,numeric_value,no,0.3072,0.9,False,"g24a_fever_226858,g24a_fever_226860,g24a_fever_226862,g24a_fever_226877,g24a_fever_226885","g24a_fever_226871,g24a_fever_226878",She started acting in erotic videos in 1993 after having worked as a stripper and glamor model.
03166213a7,fever,1,2,3,numeric_value,no,0.3333,0.0,False,g24a_fever_195376,"g24a_fever_195370,g24a_fever_195381","It was released on December 7, 2009, by Jive Records."
036f02ade0,fever,7,3,10,explicit_negation,yes,0.2904,0.4112,True,"g24a_fever_145617,g24a_fever_64956,g24a_fever_7922,g24a_fever_7923,g24a_fever_83469,g24a_fever_91508,g24a_fever_9515","g24a_fever_104205,g24a_fever_94685,g24a_fever_96850","She has appeared in films such as Pride & Prejudice, St Trinian's, The Boat That Rocked, St. Trinian's 2: The Legend of Fritton's Gold and Inception."
0371d7058c,fever,5,5,10,explicit_negation,yes,0.3454,0.3721,False,"g24a_fever_206712,g24a_fever_206716,g24a_fever_206718,g24a_fever_206722,g24a_fever_206728","g24a_fever_206715,g24a_fever_206717,g24a_fever_206723,g24a_fever_206730,g24a_fever_206737","Samwell Tarly, called Sam, is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin, and its television adaptation Game of Thrones."
03c73b4865,fever,3,4,7,numeric_value,no,0.2589,0.1667,False,"g24a_fever_121065,g24a_fever_129369,g24a_fever_4433","g24a_fever_32987,g24a_fever_59783,g24a_fever_78843,g24a_fever_88865","During much of the early medieval period, the town was contested between the Byzantines and the Bulgarian Empire, whose capital it was between 972 and 992."
03e66e8384,fever,1,1,2,indirect_contradiction,no,0.4,1.0,False,g24a_fever_108525,g24a_fever_12059,They are notorious for their use of violence and a subcultural moral code that predominantly consists of merciless revenge and cruel retributions.
041a6647e3,scifact,1,1,2,antonym_opposite,no,0.7778,1.0,False,g24a_scifact_1048,g24a_scifact_1049,"Unexpectedly, a ribosomal protein (RP) expression screen reveals dynamic regulation of individual RPs within the vertebrate embryo. Collectively, these findings suggest that RP activity may be highly regulated to impart a new layer of specificity in the control of gene expression and mammalian development."
043ce55441,fever,9,4,13,exclusive_alternative,no,0.3436,0.5417,True,"g24a_fever_108034,g24a_fever_148689,g24a_fever_40307,g24a_fever_44927,g24a_fever_44928,g24a_fever_47239,g24a_fever_54150,g24a_fever_71706,g24a_fever_8208","g24a_fever_143728,g24a_fever_144497,g24a_fever_156477,g24a_fever_78997",Veeru Devgan is an Indian stunt and action choreographer and film director in Bollywood.
047b47b7d8,fever,6,9,15,exclusive_alternative,no,0.4839,0.8333,False,"g24a_fever_130637,g24a_fever_150316,g24a_fever_20191,g24a_fever_23729,g24a_fever_64838,g24a_fever_8576","g24a_fever_114066,g24a_fever_121496,g24a_fever_127133,g24a_fever_131520,g24a_fever_131690,g24a_fever_152133,g24a_fever_41840,g24a_fever_60232,g24a_fever_8577","It has been depicted with brownish-grey plumage, yellow feet, a tuft of tail feathers, a grey, naked head, and a black, yellow, and green beak."
048b3f9b07,fever,6,3,9,exclusive_alternative,no,0.2198,0.3717,True,"g24a_fever_68413,g24a_fever_75276,g24a_fever_79899,g24a_fever_80013,g24a_fever_83669,g24a_fever_90688","g24a_fever_18051,g24a_fever_27778,g24a_fever_37997","Her roles include Dr. Addison Montgomery on the ABC television dramas Grey's Anatomy and Private Practice, Rebecca Wright on the short-lived NBC sitcom Bad Judge, and Olivia Baker on the Netflix drama series 13 Reasons Why."
04ae9dc5c7,fever,5,3,8,numeric_value,no,0.2946,0.4129,False,"g24a_fever_109431,g24a_fever_153678,g24a_fever_53998,g24a_fever_69972,g24a_fever_84431","g24a_fever_105401,g24a_fever_138095,g24a_fever_89174","In or around 589, the Visigoths under Reccared I converted from Arianism to Nicene Christianity, gradually adopting the culture of their Hispano-Roman subjects."
04b1bb5b51,fever,4,4,8,exclusive_alternative,no,0.3181,0.4938,False,"g24a_fever_165111,g24a_fever_165112,g24a_fever_165134,g24a_fever_165138","g24a_fever_165110,g24a_fever_165117,g24a_fever_165127,g24a_fever_165137","Since then, Rourke has appeared in several commercially successful films including the 2010 films Iron Man 2 and The Expendables and the 2011 film Immortals."
04d0057ede,fever,3,4,7,exclusive_alternative,no,0.2097,0.5,False,"g24a_fever_1830,g24a_fever_29338,g24a_fever_43811","g24a_fever_129011,g24a_fever_1831,g24a_fever_84948,g24a_fever_97333",DNA is the debut studio album by British girl group Little Mix.
05209920a4,fever,2,4,6,exclusive_alternative,no,0.312,0.5521,True,"g24a_fever_169032,g24a_fever_169049","g24a_fever_169003,g24a_fever_169009,g24a_fever_169018,g24a_fever_169037","The first Sikh in office, Singh was also the first prime minister since Jawaharlal Nehru to be re-elected after completing a full five-year term."
05276e3528,fever,5,1,6,numeric_value,no,0.224,0.4,False,"g24a_fever_135468,g24a_fever_30144,g24a_fever_66031,g24a_fever_79414,g24a_fever_8727",g24a_fever_91315,"After starring a Telugu film Akhil (2015), she made her Bollywood debut in Ajay Devgn's Shivaay (2016)."
057354ffde,scifact,1,1,2,indirect_contradiction,no,0.75,1.0,False,g24a_scifact_1383,g24a_scifact_1382,"Interestingly, the loss of PKCζ in mice results in enhanced intestinal tumorigenesis and increased levels of these two metabolic enzymes, whereas patients with low levels of PKCζ have a poor prognosis. Taken together, this demonstrates that PKCζ is a critical metabolic tumor suppressor in mouse and human cancer."
058b6c4c17,fever,2,1,3,explicit_negation,yes,0.3143,0.6667,False,"g24a_fever_189762,g24a_fever_189773",g24a_fever_189772,"Matthias patronized art and science; his royal library, the Bibliotheca Corviniana, was one of the largest collections of books in Europe."
05bd41a7db,fever,5,6,11,numeric_value,no,0.3157,0.5202,False,"g24a_fever_109719,g24a_fever_129819,g24a_fever_133233,g24a_fever_133234,g24a_fever_148244","g24a_fever_129820,g24a_fever_150656,g24a_fever_160832,g24a_fever_161171,g24a_fever_79635,g24a_fever_82602","""Touch My Body"" is a song by American singer and songwriter Mariah Carey, taken from her eleventh studio album, E = MC ² (2008)."
05d47d406f,fever,7,8,15,explicit_negation,yes,0.3661,0.4024,False,"g24a_fever_105530,g24a_fever_10706,g24a_fever_107307,g24a_fever_119066,g24a_fever_1233,g24a_fever_31631,g24a_fever_52186","g24a_fever_10707,g24a_fever_25178,g24a_fever_31632,g24a_fever_59907,g24a_fever_75153,g24a_fever_76593,g24a_fever_86829,g24a_fever_89777","Christopher Scott Kyle (April 8, 1974 − February 2, 2013) was a United States Navy SEAL veteran and sniper."
05f8b9fe39,fever,2,4,6,exclusive_alternative,no,0.5487,0.725,False,"g24a_fever_182902,g24a_fever_182934","g24a_fever_182911,g24a_fever_182917,g24a_fever_182919,g24a_fever_182931",The cinematography was by Nicolas Roeg and the soundtrack was by Richard Rodney Bennett. Nicolas Jack Roeg ([ˈroʊɡ] born 15 August 1928) is an English film director and cinematographer.
0669318acb,fever,1,1,2,indirect_contradiction,no,0.4545,1.0,False,g24a_fever_217221,g24a_fever_217194,"A monk ([mʌŋk], from μοναχός, monachos, ""single, solitary"" and Latin monachus) is a person who practices religious asceticism by monastic living, either alone or with any number of other monks. Asceticism ([əˈsɛtɪsɪzəm] from the [Wiktionary: ἄσκησις, ἄσκησις] áskesis, ""exercise"" or ""training"") is a lifestyle characterized by abstinence from worldly pleasures, often for the purpose of pursuing spiritual goals."
069484a782,fever,1,1,2,numeric_value,no,0.25,0.25,False,g24a_fever_143123,g24a_fever_90230,"Introduced in 1996's A Game of Thrones, Daenerys (along with her older brother, Viserys) is one of the last confirmed members of House Targaryen who, until fifteen years before the events of the first novel, had ruled from the Iron Throne for nearly three hundred years. A Game of Thrones is the first novel in A Song of Ice and Fire, a series of fantasy novels by American author George R. R. Martin."
06cc88a25a,fever,5,5,10,numeric_value,no,0.3716,0.5,False,"g24a_fever_115002,g24a_fever_120866,g24a_fever_143105,g24a_fever_24885,g24a_fever_61366","g24a_fever_145369,g24a_fever_52644,g24a_fever_79034,g24a_fever_79354,g24a_fever_96065","Davis was born in Kentucky to a moderately prosperous farmer, and grew up on his older brother Joseph's large cotton plantations in Mississippi and Louisiana."
06d9adc38d,fever,1,3,4,exclusive_alternative,no,0.4524,1.0,False,g24a_fever_188577,"g24a_fever_188564,g24a_fever_188565,g24a_fever_188581",Pitch Perfect 2 is a 2015 American comedy film directed and co-produced by Elizabeth Banks and written by Kay Cannon.
079e41ea6a,fever,2,2,4,numeric_value,no,0.6548,1.0,False,"g24a_fever_127869,g24a_fever_86116","g24a_fever_100836,g24a_fever_31418",The films collectively grossed over $873 million at the box office worldwide.
07bfe85a58,fever,1,1,2,indirect_contradiction,no,0.2,1.0,False,g24a_fever_11146,g24a_fever_40221,"Benzodiazepines (BZD, BZs), sometimes called ""benzos"", are a class of psychoactive drugs whose core chemical structure is the fusion of a benzene ring and a diazepine ring."
080a6c2bd0,fever,1,1,2,exclusive_alternative,no,0.25,0.0,False,g24a_fever_69652,g24a_fever_11917,"She is known for starring in the action films Mission: Impossible III and Live Free or Die Hard and played the title role of The CW's action-thriller series Nikita, airing from 2010 to 2013. Nikita is an American television series that aired on The CW from September 9, 2010 to December 27, 2013 in the United States."
0844f0330d,fever,3,2,5,exclusive_alternative,no,0.5551,0.725,False,"g24a_fever_223678,g24a_fever_223682,g24a_fever_223692","g24a_fever_223693,g24a_fever_223707","UNICEF UK, also known as the United Kingdom Committee for UNICEF, is one of 36 UNICEF National Committees based in industrialised countries."
0887dffdde,fever,1,2,3,indirect_contradiction,no,0.7143,0.75,False,g24a_fever_24479,"g24a_fever_134070,g24a_fever_23766","Despite frosty relations with Britain and especially the United States, he emerged as the undisputed leader of the French resistance."
089275fcc0,fever,5,7,12,exclusive_alternative,no,0.3129,1.0,False,"g24a_fever_104244,g24a_fever_26598,g24a_fever_38944,g24a_fever_74795,g24a_fever_97422","g24a_fever_106859,g24a_fever_111594,g24a_fever_117409,g24a_fever_134710,g24a_fever_153685,g24a_fever_73637,g24a_fever_78682","Starrcade was an annual professional wrestling event, originally broadcast via closed-circuit television and eventually broadcast via pay-per-view television, held from 1983 to 2000 by the National Wrestling Alliance (NWA) and later World Championship Wrestling (WCW)."
0894897e2e,fever,4,1,5,explicit_negation,yes,0.1232,0.25,False,"g24a_fever_137706,g24a_fever_44946,g24a_fever_67449,g24a_fever_92731",g24a_fever_27455,"A part of the Eastern Himalaya, Sikkim is notable for its biodiversity, including alpine and subtropical climates, as well as being a host to Kanchenjunga, the highest peak in India and third highest on Earth."
08a25cd631,fever,5,2,7,explicit_negation,yes,0.5013,0.4837,False,"g24a_fever_108598,g24a_fever_11656,g24a_fever_130301,g24a_fever_19052,g24a_fever_8290","g24a_fever_74479,g24a_fever_90355","For five seasons, Highmore starred as Norman Bates in the A&E drama-thriller series Bates Motel (2013 -- 2017), for which he was twice nominated for the Critics' Choice Television Award for Best Actor in a Drama Series."
08bc8a4d45,fever,5,4,9,indirect_contradiction,no,0.6976,0.8196,False,"g24a_fever_123777,g24a_fever_142129,g24a_fever_42628,g24a_fever_43696,g24a_fever_43697","g24a_fever_129578,g24a_fever_15559,g24a_fever_62318,g24a_fever_63896",Times Higher Education World University Rankings is an annual publication of university rankings by Times Higher Education (THE) magazine.
0939900d94,fever,4,3,7,exclusive_alternative,no,0.3806,0.5417,False,"g24a_fever_221237,g24a_fever_221249,g24a_fever_221251,g24a_fever_221257","g24a_fever_221245,g24a_fever_221250,g24a_fever_221252","The first official single from the album is ""Summertime"" and the song was released on May 13, 2008."
09dc2ec887,fever,1,1,2,indirect_contradiction,no,0.5,1.0,False,g24a_fever_40992,g24a_fever_101176,"""I Want to Know What Love Is"" has continued to garner critical acclaim, and is listed as one of Rolling Stone Magazine's greatest songs of all time at # 479."
09f77dfc71,fever,1,1,2,explicit_negation,yes,0.25,0.0,False,g24a_fever_8740,g24a_fever_153450,"Credited as ""one of the greatest visual storytellers in filmmaking"", he first came to public attention in the 1980s as the director of Romancing the Stone (1984) and the science-fiction comedy Back to the Future film trilogy, as well as the live-action/animated comedy Who Framed Roger Rabbit (1988)."
0a068c69f2,fever,6,5,11,explicit_negation,yes,0.2641,0.4678,False,"g24a_fever_146518,g24a_fever_26836,g24a_fever_58482,g24a_fever_69422,g24a_fever_71153,g24a_fever_80800","g24a_fever_103535,g24a_fever_18507,g24a_fever_34577,g24a_fever_38141,g24a_fever_72090","In 2009, Ross founded the record label Maybach Music Group, on which he released his studio albums Deeper Than Rap (2009), Teflon Don (2010), God Forgives, I Do n't (2012), Mastermind, Hood Billionaire (2014), Black Market (2015), and Rather You Than Me (2017)."
0a800f91c6,fever,1,1,2,numeric_value,no,0.4545,0.4286,False,g24a_fever_224186,g24a_fever_224192,"Comedian and Late Night host Seth Meyers hosted the ceremony for the first time. The 66th Annual Primetime Creative Arts Emmy Awards ceremony was held on August 16, 2014, at the Nokia Theatre in Downtown Los Angeles."
0aa4aeed0f,fever,1,1,2,exclusive_alternative,no,0.3333,1.0,False,g24a_fever_4592,g24a_fever_59214,"A film adaptation, directed by Gary Ross and co-written and co-produced by Collins herself, was released in 2012."
0ae49cc78d,fever,10,6,16,indirect_contradiction,no,0.2734,1.0,False,"g24a_fever_110717,g24a_fever_115632,g24a_fever_128229,g24a_fever_223,g24a_fever_27308,g24a_fever_29902,g24a_fever_29903,g24a_fever_32890,g24a_fever_8925,g24a_fever_99053","g24a_fever_105664,g24a_fever_149622,g24a_fever_152286,g24a_fever_32891,g24a_fever_8926,g24a_fever_93546","Advertising is an audio or visual form of marketing communication that employs an openly sponsored, nonpersonal message to promote or sell a product, service or idea."
0ae8659061,fever,9,6,15,explicit_negation,yes,0.3869,0.498,True,"g24a_fever_194342,g24a_fever_194343,g24a_fever_194345,g24a_fever_194349,g24a_fever_194350,g24a_fever_194354,g24a_fever_194359,g24a_fever_194362,g24a_fever_194371","g24a_fever_194341,g24a_fever_194357,g24a_fever_194358,g24a_fever_194361,g24a_fever_194363,g24a_fever_194367","""Happiness in Slavery"" is a song by American industrial rock band Nine Inch Nails from their debut extended play (EP), Broken (1992)."
0af8fc2cc4,fever,3,5,8,exclusive_alternative,no,0.3488,0.6989,False,"g24a_fever_110998,g24a_fever_119992,g24a_fever_29543","g24a_fever_119132,g24a_fever_138252,g24a_fever_140967,g24a_fever_45879,g24a_fever_49512",The Ellen Show is a television sitcom created by and starring Ellen DeGeneres that was broadcast during the 2001 -- 02 season on CBS.
0b4bf1b352,fever,5,4,9,exclusive_alternative,no,0.4875,0.6483,False,"g24a_fever_174871,g24a_fever_174875,g24a_fever_174881,g24a_fever_174883,g24a_fever_174893","g24a_fever_174872,g24a_fever_174882,g24a_fever_174891,g24a_fever_174900","The Alfred P. Murrah Federal Building was a United States federal government complex located at 200 N.W. 5th Street in Downtown Oklahoma City, Oklahoma, United States."
0b5b696cc1,fever,2,4,6,numeric_value,no,0.4125,0.8333,False,"g24a_fever_133395,g24a_fever_2150","g24a_fever_17855,g24a_fever_59158,g24a_fever_82450,g24a_fever_84828",One True Thing is a 1998 American drama film directed by Carl Franklin.
0b69055e47,fever,2,1,3,indirect_contradiction,no,0.5,0.75,False,"g24a_fever_43444,g24a_fever_4350",g24a_fever_148471,"Kendall Nicole Jenner (born November 3, 1995) is an American fashion model and television personality."
0b747f70c5,fever,3,2,5,exclusive_alternative,no,0.5791,0.3889,False,"g24a_fever_109142,g24a_fever_115020,g24a_fever_48981","g24a_fever_120817,g24a_fever_144769","Fantastic Four was released in the United States on July 8, 2005."
0bb0b1b8a9,fever,2,5,7,numeric_value,no,0.3183,0.64,False,"g24a_fever_200033,g24a_fever_200039","g24a_fever_200032,g24a_fever_200041,g24a_fever_200045,g24a_fever_200050,g24a_fever_200051","It debuted at the Sundance Film Festival in January 1993, where it received critical praise."
0bb4f82e8b,fever,2,1,3,numeric_value,no,0.7008,0.8333,False,"g24a_fever_26675,g24a_fever_70602",g24a_fever_66669,"After successfully defending the FA Cup in 1962, in 1963 they became the first British club to win a UEFA club competition -- the European Cup Winners' Cup."
0bb87e11b6,fever,1,2,3,numeric_value,no,0.2667,0.3333,False,g24a_fever_30805,"g24a_fever_124817,g24a_fever_130726","It is a remake of the 1972 Fist of Fury, which starred Bruce Lee as the lead character. Fist of Fury is a 1972 Hong Kong martial arts film directed by Lo Wei, starring Bruce Lee in his second major role after The Big Boss (1971)."
0bba13e311,fever,4,5,9,numeric_value,no,0.3227,0.8333,False,"g24a_fever_2575,g24a_fever_31447,g24a_fever_48227,g24a_fever_77359","g24a_fever_1325,g24a_fever_140923,g24a_fever_89150,g24a_fever_94861,g24a_fever_98042",The Winds of Winter is the forthcoming sixth novel in the epic fantasy series A Song of Ice and Fire by George R. R. Martin.
0bc15ddb58,fever,1,1,2,explicit_negation,yes,0.75,1.0,False,g24a_fever_35523,g24a_fever_114609,"She has been called ""the most influential and important queen consort England has ever had"", for she provided the occasion for Henry VIII to annul his marriage to Catherine of Aragon and declare his independence from the Holy See."
0bcdd99279,fever,2,2,4,explicit_negation,yes,0.5292,1.0,True,"g24a_fever_151104,g24a_fever_35494","g24a_fever_144500,g24a_fever_70022","Veep is an American political satire comedy television series, starring Julia Louis-Dreyfus, that premiered on HBO on April 22, 2012."
0bcfbf2904,fever,2,4,6,indirect_contradiction,no,0.2351,0.3687,True,"g24a_fever_40397,g24a_fever_61874","g24a_fever_154067,g24a_fever_74127,g24a_fever_83021,g24a_fever_89789","He has served as the chairman and CEO of Epic Records, a division of Sony Music Entertainment, the president and CEO of Arista Records, and the chairman and CEO of the Island Def Jam Music Group."
0c052cc7db,fever,6,5,11,explicit_negation,yes,0.1975,0.2,False,"g24a_fever_221072,g24a_fever_221073,g24a_fever_221076,g24a_fever_221077,g24a_fever_221081,g24a_fever_221085","g24a_fever_221071,g24a_fever_221086,g24a_fever_221087,g24a_fever_221090,g24a_fever_221093","A&E (previously Arts & Entertainment Network) is an American cable and satellite television channel that serves as the flagship television property of A&E Networks, a joint venture between the Hearst Corporation and Disney -- ABC Television Group subsidiary of the Walt Disney Company (both of which maintain a 50% ownership interest)."
0c088b79b5,fever,5,4,9,exclusive_alternative,no,0.4906,0.5933,False,"g24a_fever_105931,g24a_fever_136463,g24a_fever_1544,g24a_fever_44610,g24a_fever_56986","g24a_fever_135968,g24a_fever_146389,g24a_fever_151207,g24a_fever_57359","Cheese in the Trap is a South Korean television series starring Park Hae-jin, Kim Go-eun, Seo Kang-joon and Lee Sung-kyung."
0c6800fb98,fever,1,1,2,numeric_value,no,0.375,1.0,False,g24a_fever_104703,g24a_fever_42954,"In 1973 Pakistan adopted a new constitution establishing, alongside its pre-existing parliamentary republic status, a federal government based in Islamabad consisting of four provinces and four federal territories."
0d0c4e1162,fever,1,1,2,explicit_negation,yes,0.1818,1.0,False,g24a_fever_165658,g24a_fever_165665,"He is known for his portrayal of the fourth incarnation of the Doctor in the science fiction series Doctor Who from 1974 to 1981, a longer tenure than any other actor, and for the narration of the comedy series Little Britain."
0d26acdff3,fever,8,7,15,explicit_negation,yes,0.4143,0.6658,False,"g24a_fever_123203,g24a_fever_138884,g24a_fever_46187,g24a_fever_46188,g24a_fever_47070,g24a_fever_54604,g24a_fever_60147,g24a_fever_81046","g24a_fever_111408,g24a_fever_126172,g24a_fever_157777,g24a_fever_61504,g24a_fever_82075,g24a_fever_88251,g24a_fever_90350","Yale has graduated many notable alumni, including five U.S. Presidents, 19 U.S. Supreme Court Justices, 20 living billionaires, and many heads of state."
0d4329e1ef,fever,1,3,4,explicit_negation,yes,0.3214,0.5833,True,g24a_fever_187555,"g24a_fever_187537,g24a_fever_187541,g24a_fever_187546","Matthew Allard de Vere Drummond (born Matthew Allard Robert Vaughn; 7 March 1971) is an English film producer, director, and screenwriter."
0d73265422,fever,3,6,9,explicit_negation,yes,0.6031,0.6926,False,"g24a_fever_2295,g24a_fever_25396,g24a_fever_89707","g24a_fever_105526,g24a_fever_119528,g24a_fever_23153,g24a_fever_77043,g24a_fever_82674,g24a_fever_94760",P.S. I Love You is a 2007 American drama film directed by Richard LaGravenese.
0d74b3e867,fever,6,4,10,exclusive_alternative,no,0.4961,1.0,True,"g24a_fever_219161,g24a_fever_219164,g24a_fever_219165,g24a_fever_219171,g24a_fever_219202,g24a_fever_219205","g24a_fever_219173,g24a_fever_219188,g24a_fever_219190,g24a_fever_219200","It is very useful in understanding species distribution through factors such as speciation, extinction, continental drift, glaciation, variation of sea levels, river capture and available resources."
0dcf7e6c91,fever,1,2,3,exclusive_alternative,no,0.2679,0.75,False,g24a_fever_32939,"g24a_fever_126693,g24a_fever_6668","Louis Marie Malle ([mal]; 30 October 1932 -- 23 November 1995) was a French film director, screenwriter, and producer."
0dd7c6deae,fever,1,1,2,explicit_negation,yes,0.5,1.0,False,g24a_fever_21235,g24a_fever_42344,Penguin's success demonstrated that large audiences existed for serious books.
0e729e9b50,scifact,1,1,2,indirect_contradiction,no,0.8421,1.0,False,g24a_scifact_143,g24a_scifact_142,"Also, during the 1-year follow-up, combined analysis of MSC-treated groups revealed significantly decreased risk of opportunistic infections than the control group (hazard ratio, 0.42; 95% CI, 0.20-0.85, P=.02) CONCLUSION Among patients undergoing renal transplant, the use of autologous MSCs compared with anti-IL-2 receptor antibody induction therapy resulted in lower incidence of acute rejection, decreased risk of opportunistic infection, and better estimated renal function at 1 year."
0eca4bb03e,fever,5,1,6,numeric_value,no,0.4095,0.6,False,"g24a_fever_10942,g24a_fever_110221,g24a_fever_73979,g24a_fever_78725,g24a_fever_89458",g24a_fever_10712,"It incorporates knowledge and research in the linguistics, computer science, and electrical engineering fields."
0f1eac8bed,fever,1,3,4,numeric_value,no,0.3424,0.8889,False,g24a_fever_66425,"g24a_fever_38708,g24a_fever_60411,g24a_fever_62633","It was announced on April 26, 2012, that the series had ended and the third season would be the final season."
0f55a79975,fever,2,1,3,indirect_contradiction,no,0.225,0.2864,False,"g24a_fever_151680,g24a_fever_54910",g24a_fever_139220,Pacino won the BAFTA Award for Best Actor and was nominated for the Academy Award for Best Actor.
0f75314153,fever,5,7,12,indirect_contradiction,no,0.3076,0.5119,False,"g24a_fever_13069,g24a_fever_143028,g24a_fever_151357,g24a_fever_18707,g24a_fever_84839","g24a_fever_137741,g24a_fever_33011,g24a_fever_46004,g24a_fever_68022,g24a_fever_76482,g24a_fever_84472,g24a_fever_92816","Charles Milles Manson (born Charles Milles Maddox, November 12, 1934) is an American criminal and former cult leader who led what became known as the Manson Family, a quasi-commune that arose in California in the late 1960s."
